标题,评分,评分人数,导演,主演,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
杀人狂魔 Maniac,7.3,155,迈克尔·卡雷拉斯,"凯文·马修斯, 娜迪亚·格雷","爱情, 悬疑, 惊悚, 恐怖, 犯罪",1963-05-20,86 分钟,美国画家保罗·法雷尔（Kerwin Mathews 饰）来到法国南部一个名叫圣纪龙德的偏僻所在。在当地一家小旅店内，他邂逅了青春靓丽的女招待安妮特·贝纳特（Liliane Brousse 饰）及其性感妖艳的继母伊芙（Nadia Gray 饰）。保罗为安妮特的美丽所吸引，但他很快落入伊芙精心编织的爱情陷阱中，两人干柴烈火，难舍难分。此后不久，伊芙请求保罗救出她的丈夫乔治（Donald Houston 饰）。原来就在4年前，安妮特被农夫詹尼罗（Arnold Diamond 饰）所强暴。愤怒的乔治用极其残忍的手法教训了这个强奸犯，而他也因此被关进看守所。伊芙许诺救出乔治后就和保罗私奔，保罗信以为真，铤而走险。却不曾想将死神带到自己的身边……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516752186.jpg,英国,英语 / 法语,疯子,tt0056219,https://movie.douban.com/subject/2284647/,1
机器战警2 Robocop 2,7.1,14156,厄文·克什纳,"彼得·威勒, 南茜·艾伦, 加布里埃尔·达蒙, 莉扎·吉邦斯","动作, 科幻, 惊悚, 犯罪",1990-06-22,Germany: 82 分钟(FSK 16 version),在这部续集中，生产机械战警的泛消费公司掌控着底特律城的治安，警察们因薪水迟迟不能到位而举行罢工。凯恩（Tom Noonan 饰）旗下的犯罪集团依靠制造风靡各地的毒品“纽克”大发横财，社会治安极度败坏，到处是暴力事件。机械警察墨菲（Peter Weller 饰）追查毒品，将凯恩的制毒工厂捣毁，由此被凯恩团伙埋伏，惨遭肢解。与此同时，泛消费公司趁市政府财务困难，凭合同欲将城市行政纳入公司范畴，泛消费的新机械战警开发计划屡屡失败，于是请到心理学家菲克斯参与设计，菲克斯改动墨菲的命令程序使其无法如常工作，从错误程序摆脱出来的墨菲带领一干热血干警横扫凯恩总部，但是菲克斯却将凯恩改造成为巨大的机械战警，墨菲与凯恩的再次战斗不可避免……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529230959.jpg,美国,英语,机械战警2 / 铁甲威龙2,tt0100502,https://movie.douban.com/subject/1298574/,1
木兰：横空出世,3.3,5901,廖光华,"张琦, 赵路, 邵敏佳, 小米, 贾邱, 韩秀一, 许棕哲, 郑武文杰, 张啸霏, 王和逸, 屠凤刚","喜剧, 动作, 动画",2020-10-03(中国大陆),98分钟,该片是全球首次以三维动画形式讲述花木兰故事。故事基于原著但做出改编，木兰从小怀抱女侠梦想，可在替父从军后屡次遭受打击，咬牙坚持下面对爱情和友情种种，最终真正理解了“侠之大者，为国为民”的含义。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2620260893.jpg,中国大陆,汉语普通话,Kung Fu Mulan,tt11952874,https://movie.douban.com/subject/34842226/,1
星际穿越 Interstellar,9.4,1965054,克里斯托弗·诺兰,"马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦, 麦肯吉·弗依, 卡西·阿弗莱克, 迈克尔·凯恩, 马特·达蒙, 提莫西·查拉梅, 艾伦·伯斯汀, 约翰·利思戈, 韦斯·本特利, 大卫·吉亚西, 比尔·欧文, 托弗·戈瑞斯, 科莱特·沃夫, 弗朗西斯·X.麦卡蒂, 安德鲁·博尔巴, 乔什·斯图沃特, 莱雅·卡里恩斯, 利亚姆·迪金森, 杰夫·赫普内尔, 伊莱耶斯·加贝尔, 布鲁克·史密斯, 大卫·奥伊罗, 威廉姆·德瓦内, 拉什·费加, 格里芬·弗雷泽, 弗洛拉·诺兰","剧情, 科幻, 冒险",2014-11-12(中国大陆),169分钟,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,美国 / 英国 / 加拿大,英语,星际启示录(港) / 星际效应(台) / 星际空间 / 星际之间 / 星际远航 / 星际 / Flora's Letter,tt0816692,https://movie.douban.com/subject/1889243/,1
昆池岩 곤지암,6.3,198856,郑范识,"魏嘏隽, 朴智炫, 吴雅妍, 文艺媛, 朴成焄, 柳济允, 李承旭",恐怖,2018-03-28(韩国),94分钟,"原名南营神经精神医院的昆池岩精神病院，最早建立于20世纪60年代。在特殊的时代它曾经历了无比的辉煌，然而更为人熟知的则是该医院身上所发生的各类恐怖事件。现如今，早已废弃的昆池岩医院被CNN票选为全球七大恐怖之地之一，更由此吸引无数寻求刺激的青年男女来此探险。三个月前，两名青少年来此探险，结果在直播中遭遇诡异事件，下落不明。此后，《恐怖世代》剧组在魏河俊的召集下，网罗了吴雅妍、朴智贤、夏洛特（文艺媛 饰）、李丞旭、朴成勋、刘帝允等人前往昆池岩，更试图打开备受诅咒的402室。
                                    
                                　　夜幕降临，全球网友一道观看这场恐怖盛宴……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513360824.jpg,韩国,韩语,鬼病院：灵异直播(台) / 疯人院逐个捉(港) / 魂断疯人院 / Gonjiam: Haunted Asylum,tt8119752,https://movie.douban.com/subject/26945085/,1
昆仑神宫,6.9,137213,蔡岳勋,"潘粤明, 张雨绮, 姜超, 高伟光, 汤镇业, 沙宝亮, 佟磊, 舒耀瑄, 文晴, 王雨甜, 杨琼, 索郎尼马, 高爽","剧情, 动作, 冒险",2022-09-20(中国大陆),35分钟,第四部《昆仑神宫》介绍 如何解开雮尘珠的秘密？所有的线索都指向雪域藏地。香港古董商明叔为了寻找《格萨尔王》中传说的魔国冰川水晶尸，雇请胡八一等三位摸金校尉入藏寻找。 一行九人进入青藏文明的发源地之一、300多年前神秘消失的古格王国遗址，寻找古格银眼，据说它是藏地的地理座标，可以断定冰川水晶尸就在喀拉米尔，而且许多线索都与雮尘珠暗合。 在喀拉米尔的龙顶冰川，独眼白狼王率领狼群守护着冰川下的秘密；九层妖塔下埋葬的水晶自在山引发了雪崩；一条隧道直通风蚀湖，这里是白胡老鱼和斑纹鲛的战场，它们到底在争夺什么，是风蚀湖的霸主地位，还是在“戏珠”？翻过湖边的山冈，一座石窟中的城市展现在眼前，城中灯火通明，死气沉沉……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2880550356.jpg,中国大陆,汉语普通话,鬼吹灯之昆仑神宫 / Kunlun Tomb,tt23333068,https://movie.douban.com/subject/35095038/,16
日常幻想指南,4.9,14735,梁栋,"王彦霖, 焦俊艳, 高捷, 闵健, 罗辑, 张子栋, 林更新, 包贝尔, 张海宇, 曾江, 阳蕾, 张雪峰, 大兵, 梁缘, 琥玛尔","喜剧, 爱情, 奇幻",2021-09-19(中国大陆),98分钟,改编自网络同名人气连载漫画，电影讲述了男主角阿震（王彦霖 饰）在一次意外后竟获得了和静物沟通的超能力，这个能力让他的生活发生了翻天覆地的变化，就在这时阿震重逢了学生时代的初恋草莓（焦俊艳 饰）……生活陷入混乱的阿震为了回归原本的生活，与静物们展开了一段精彩故事……,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2681329662.jpg,中国大陆,汉语普通话,Daily Fantasy,tt15465908,https://movie.douban.com/subject/26823520/,1
无耻家庭之无耻堂 Shameless Hall of Shame,9.4,5786,伊恩·B·麦克唐纳,"卡梅隆·莫纳汉 Cameron Monaghan, 诺尔·费舍, 史蒂夫·豪威, 艾玛·肯尼, 杰瑞米·艾伦·怀特, 伊森·卡特科斯基 Ethan Cutkosky, 珊诺拉·汉普顿, 凯特·迈纳 Kate Miner, 克里斯蒂安·艾赛亚 Kristian Isaiah, 威廉姆·H·梅西",,2020-12-27(美国),55分钟,"美剧《shameless》将推出衍生剧，回顾每个角色在前十季的成长经历，第一集将以伊恩（卡梅隆·莫纳汉饰）和米奇（诺尔·费舍饰）为主角，展示他们之间独特的关系，以及从十几岁到充满爱情的复杂的婚姻的演变过程。
                                        
                                    　　The 11th and final season of Showtime’s signature comedy Shameless is under way, and now it’s getting a hybrid recap/original extension series of sorts. The premium cabler has set Shameless Hall of Shame to premiere Sunday, December 27.
                                        
                                    　　The six-episode Hall of Shame will feat...",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628502156.jpg,美国,英语 English,无耻高光,tt13653972,https://movie.douban.com/subject/35289513/,6
无耻之徒(美版) 第十一季 Shameless Season 11,9.6,48551,伊恩·B·麦克唐纳,"威廉姆·H·梅西, 卡梅隆·莫纳汉, 伊森·卡特科斯基, 珊诺拉·汉普顿, 杰瑞米·艾伦·怀特, 史蒂夫·豪威, 艾玛·肯尼, 克里斯蒂安·艾赛亚, 诺尔·费舍, 凯特·迈纳","剧情, 喜剧",2020-12-06(美国),46分钟,该剧最后一季，Gallagher一家和邻里糟乱、热闹，丧又不乏温暖的生活故事将走到尽头。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2684220778.jpg,美国,英语,无耻家庭(美版) / 无耻之家,tt11600240,https://movie.douban.com/subject/34948243/,12
斗破苍穹 年番2,,,沈亦默,"不一, 黑石稔, 冯骏骅, 赵路, 杨梦露, 醋醋, 谢添天, 夏磊, 刘垚, 鬼月, 符冲, 德智, 刘彬, 柯暮卿, 孟阳, 刘以嘉, 鹏小胖, 海帆, 曹真, 袁国庆, 高其昌, 杨鸥, 许棕哲, 赵洋, 王宇航, 时音, 吕书君, 萧清源, 王和逸, 小忻","动作, 动画, 奇幻, 冒险, 古装",2023-07-16(中国大陆),24分钟,萧炎横扫云岚宗成功复仇，谁知药老的灵魂却被魂殿掳走。为抓萧炎，魂殿暗借小医仙之手，命毒宗围剿萧炎的炎盟。刚晋级斗皇的萧炎虽成功化解危机，却也身中魔毒斑。为解此毒，更是为了解救药老，萧炎带着小医仙和紫研前往中州，殊不知，等待他们命运的竟然是……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2908630224.jpg,中国大陆,汉语普通话,斗破苍穹 年番二 / 斗破苍穹年番 第53-104集 / 斗破苍穹 第113-164集 / 斗破苍穹 第六季 / Fights Break Sphere VI,无,https://movie.douban.com/subject/36886931/,52
教室别恋 Lust och fägring stor,7.2,37920,波·维德伯格,"约翰·维德伯格, 马莉卡·拉格尔克朗斯, 托马斯·冯·布罗姆森, 卡琳·胡尔特, 尼娜·贡克, 伯恩·谢尔曼, 肯内特·米尔多夫, 西格·塞德隆德, 乔治·比塞特, 佩尔·奥洛夫·伯耶松, 莫妮卡·斯滕贝克, 芒努斯·安德松, 米卡埃尔·本特松, 佩卡·奥尔斯泰特, 霍坎·安德松, 比约恩·贝里斯特伦, 弗里达法瑞尔, 托马茨·兰斯米尔","剧情, 爱情, 情色, 战争",1995-11-03(瑞典),132分钟,"37岁的女教师维奥娜（马莉卡•劳伦丝 Marika Lagercrantz 饰）美艳动人，当丝袜推销员的丈夫却整天出差，就算回到家也只是听音乐、喝闷酒，让她心里非常寂寞难耐。班上15岁的青春少年史迪（约翰•威德伯格 Johan Widerberg 饰）懵懂无知，有着青春期特有的冲动。师生间两眼对视的瞬间，自然而然产生了相互依赖的畸形恋情。
                                    
                                　　当他们完全沉醉在肉欲之欢里时，史迪对同龄的女生已经毫不感兴趣，拒绝了同班同学的暗恋。维奥娜的丈夫其实早已知道了妻子秘密，但他并没有揭穿妻子的秘密，而是继续饮酒、听音乐。此情此景，让史迪开始对自己的肉欲和这段畸形恋进行反思。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2569615088.jpg,瑞典 / 丹麦,瑞典语 / 西班牙语 / 英语 / 葡萄牙语 / 德语,所有的一切都合理 / All Things Fair,tt0113720,https://movie.douban.com/subject/1303031/,1
扫毒3：人在天涯 掃毒3：人在天涯,5.5,74621,邱礼涛,"刘青云, 古天乐, 郭富城, 杨采钰, 罗嘉良, 谢君豪, 方中信, 陈国邦, 洪天明, 刘浩龙, 苏宸褕, 徐伟栋, 丘占辉, 林雪, 袁富华, 张松枝, 彭怀安","剧情, 动作, 犯罪",2023-07-06(中国大陆),124分钟,毒枭康素差（刘青云 饰）一直带着手下张建行（郭富城 饰）从事毒品交易，新加入的成员欧志远（古天乐 饰）也因一次意外与两人有了过命交情，三人情同手足。康素差在香港的贩毒生意被警方查处后带团队逃到金三角发展，却意外发现身边藏有卧底。此刻，是敌是友，一片茫然。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892914259.jpg,中国大陆 / 中国香港,粤语 / 汉语普通话,扫毒3 / 扫毒3天大地大 / 金三角行动 / The White Storm 3: Heaven or Hell,tt26929966,https://movie.douban.com/subject/35013359/,1
扫毒2：天地对决 掃毒2：天地對決,6.0,255106,邱礼涛,"刘德华, 古天乐, 苗侨伟, 林嘉欣, 周秀娜, 应采儿, 陈家乐, 卫诗雅, 郑则仕, 张国强, 陈佩诗, 狼森, 欧阳靖, 恭硕良, 林家栋, 李赏, 张竣杰, 李灿森, 谭小环","剧情, 动作, 悬疑, 犯罪",2019-07-05(中国大陆),99分钟,毒品市场维持四分天下的格局已久，但自从地藏与墨西哥大毒枭跨境合作扩展势力，再加上一连串黑吃黑的动作，毒界变得风声鹤唳。另一方面，因儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天，正悬赏一亿歼灭香港最大毒贩，此举在社会上引起轩然大波。警员林正风本致力搜证拘捕地藏，毒贩却因巨额悬赏导致人身安全受威胁，他在执行保护毒贩的任务时深感无奈，但又被余顺天的出价所诱惑，陷入黑白正邪的心理挣扎。原来，余顺天和地藏有不可告人的同门关系，一场天地对决一触即发。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561172733.jpg,中国大陆 / 中国香港,汉语普通话 / 粤语,扫毒2天地对决 / The White Storm 2: Drug Lords,tt8239806,https://movie.douban.com/subject/30171425/,1
我不是药神,9.0,2198809,文牧野,"徐峥, 王传君, 周一围, 谭卓, 章宇, 杨新鸣, 王佳佳, 王砚辉, 贾弘逍, 龚蓓苾, 宁浩, 李乃文, 岳小军, 苇青, 富冠铭, 巴拉特·巴蒂, 喜利图, 张海艳, 朱耕佑","剧情, 喜剧",2018-07-05(中国大陆),117分钟,"普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。
                                    
                                　　本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,中国大陆,汉语普通话 / 英语 / 上海话 / 印地语,中国药神 / 印度药神 / 印度药商 / 生命之路 / Dying to Survive / Drug Dealer,tt7362036,https://movie.douban.com/subject/26752088/,1
惊声尖叫 Scream,7.2,58650,韦斯·克雷文,"德鲁·巴里摩尔, 罗格·杰克逊, 内芙·坎贝尔, 斯基特·乌尔里奇, 柯特妮·考克斯, W·厄尔·布朗, 罗丝·麦高恩, 大卫·阿奎特, 马修·里沃德, 杰米·肯尼迪, Lisa Beach, 弗兰西斯·李·麦克凯恩, 列维·施瑞博尔, 特罗伊·比肖普, 丽莎·坎宁, 柯蒂斯·贝德福特, 琳达·布莱尔, Lucille Bliss, 韦斯·克雷文, 亨利·温克勒","惊悚, 恐怖",1996-12-20,111 分钟,锡德尼•普雷斯科特（内芙•坎贝尔饰）的母亲去世一周年，这个本该平静的加州小镇变成了一片血海！两名学生被残忍地杀害，凶手是一位带着面具的恐怖片爱好者。警方将锡德尼的男友比尔•卢米斯（斯基特•乌尔里奇饰）定为嫌疑犯，并予以逮捕。但这时又有命案发生！神出鬼没的面具凶手仿佛死神般带走一个又一个生命，但凶手的真面目却无人知晓。夜幕降临，凶手将锡德尼身边的人一个个杀害，而被害人只能在被害前惊声尖叫。谁能够从凶手的刀下躲过，谁能揭开凶手的面具呢？,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166895812.jpg,美国,英语,夺命狂呼(港) / 尖叫,tt0117571,https://movie.douban.com/subject/1301630/,1
怪形 The Thing,8.2,63942,约翰·卡朋特,"库尔特·拉塞尔, 威尔福德·布利姆雷, TK·卡特, 大卫·科列侬, 凯斯·大卫, 理查德·戴萨特, 查尔斯·哈拉汉, Peter Maloney, 理查德·马苏尔, 唐纳德·莫法特, 乔尔·波利斯, 托马斯沃特斯, 诺伯特·魏塞尔, 拉瑞·弗兰科, 纳特·欧文, 阿德里安娜·巴比欧, 约翰·卡朋特, 杰德","科幻, 悬疑, 恐怖",1982-06-25,109 分钟,"1982年冬天，挪威科考队的一架直升机突然打破了南极大陆的平静，直升机疯狂的追逐一只雪橇犬，最后坠毁在美国科考营地的附近。美国科考队员对挪威考察队近期人员骤减的情况有所耳闻，于是飞行员麦克（Kurt Russell 饰）与众人赶赴挪威营地，结果看到的是一地破败中四处散落着奇怪的尸体，并有证据表明挪威人得到了某种冰封状态中的生物。医生布莱尔（Wilford Brimley 饰）研究了尸体的变异却无法破解成因。当晚，犬笼中的狗遭到袭击并发生了变异，一种不可知的生物正在这孤寂的南极大陆威胁着科考队员们的生命……
                                    
                                　　本片翻拍自1951年由霍华德•霍克斯指导的《The Thing From Another World》。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449608716.jpg,美国,英语 / 挪威语,突变第三型(台),tt0084787,https://movie.douban.com/subject/1296794/,1
怪奇物语 第四季 Stranger Things Season 4,9.2,225135,马特·达菲,"米莉·波比·布朗, 薇诺娜·瑞德, 大卫·哈伯, 菲恩·伍法德, 伽塔·马塔拉佐, 凯莱布·麦克劳克林, 诺亚·施纳普, 萨迪·辛克, 娜塔莉·戴尔, 查理·希顿, 乔·基瑞, 玛雅·霍克, 杰米·坎贝尔·鲍尔, 布伦特·吉尔曼, 普莉雅·弗格森, 马修·莫迪恩, 保罗·雷瑟, 戴克·蒙哥马利, 汤姆·弗拉席亚, 艾米贝丝·麦克纳尔蒂, 罗根·莱利·布鲁纳, 卡拉·布欧诺, 乔·克里斯特, 凯瑟琳·科廷, 梅森·戴伊, 罗布·摩根, 约翰·雷诺兹, 爱德华多·弗兰科, 爱洛迪·格蕾丝·奥尔金, 加布里埃拉·皮佐罗, 奥黛丽·霍尔科姆, 约瑟夫·奎恩, 格瑞思·范·迪恩, 罗伯特·英格兰德, 迈尔斯·特鲁伊特, 尼古拉·久里奇科, 里贾纳·陈婷, 谢尔曼·奥古斯图斯, 大卫·吉布森, 罗伯特·廷斯利, 埃德·阿玛特鲁多, 切斯·莱杰伍德, 马蒂·布莱尔, 克里斯蒂安·加尼埃, 特里斯坦·斯波恩, 帕丽丝·本杰明, 丽维·伯奇, 拉菲尔·卢斯","剧情, 恐怖, 奇幻",2022-05-27(美国),65-150分钟,星庭之战已经过去六个月，那场战役给霍金斯镇带来了灭顶之灾，自此以后人心惶惶。在想尽各种办法之后，我们这群朋友们首次各奔东西，他们努力应对复杂的高中生活，但这并没有让事情变得更容易。在这个最脆弱的时代，一个可怕的全新超自然威胁浮出水面，并抛出了一个可怕的谜题，如果能够解开这个谜题，就可能从彻底终结恐怖的颠倒世界。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2868448056.jpg,美国,英语,Montauk,tt11043488,https://movie.douban.com/subject/27194292/,9
开棺,5.1,6379,成思毅,"韩栋, 姜超, 王禛, 何中华, 佟磊, 周晓鸥","悬疑, 惊悚",2022-05-02(中国大陆网络),92分钟,消失三年的“鬼手”及其盗墓团伙重现江城，再次堪舆点穴下墓摸金。怎料，四名盗墓贼在开棺之时遭遇惊魂邪煞，逃离墓葬之后又接连惨死家中。古墓“尸毒”和命宫印堂之上的分魂针孔，成为留给警察沈春合仅有的查案线索。看似普通的盗墓案，瞬间扑朔迷离，疑点重重。四人是盗墓太多自食报应丧命，还是分魂针所指的换命转病，遭人蓄意谋杀？盗墓掌眼“鬼手”的神秘身份，更是牵出陈年谋杀警察旧案。沈春合联手法医韩冰，解刨验尸身、下墓取尸毒、棺材店中破邪术、纸扎店里缉真凶。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2872052388.jpg,中国大陆,汉语普通话,Open The Coffin,tt27947717,https://movie.douban.com/subject/35814526/,1
山海经之再见怪兽,6.3,22402,黄健明,"刘琮, 艾一艾, 王凯, 张喆, 张磊, 王冠男, 林兰, 张遥函, 程寅, 刘若班, 陈子平, 巫蛊悠悠","喜剧, 动画, 奇幻, 冒险",2022-08-13(中国大陆),99分钟,昆仑之虚，掩于山海之中，由大小数千个岛屿组成，其中有大小两个岛屿命名为医疗岛，大岛治病，小岛调养，昆仑医馆的医师们技艺高超，救命无数，但是唯有一种病——黑灵却让他们束手无策。神医白泽艺术精湛，勇于创新，独独不肯屈服于黑灵的邪恶力量，想方设法要攻克这种疾病。但在一次和黑灵的决斗中，灾难蔓延全岛，最终白泽被师父驱逐出岛。转眼七年过去，艰苦环境的磨砺并未销蚀白泽的意志，他反而锻炼出更为高超的医术。怎奈没有昆仑医馆的支持，不仅没有病患相信他的“自吹自擂”，反而还受到同行的排挤与倾轧。在四方游走途中，他偶遇麒麟男孩羿，随后与之结伴同行。与此同时，黑灵危机爆发在即……,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2877497897.jpg,中国大陆,汉语普通话,再见怪兽 / Goodbye Monster / 山海経 霊獣図鑑(日),tt9563330,https://movie.douban.com/subject/27031463/,1
Blind 블라인드,7.4,6787,申勇辉,"玉泽演, 河锡辰, 郑恩地, 郑仁基, 郑义旭, 朴智彬, 金河均, 赵胜渊, 金范来, 白承姬, 吴承允, 崔宏一, 赵敬淑, 郑成湖, 全珍宇, 姜娜延, 尹挺赫, 赵妍熙, 崔在燮, 崔知妍, 蔡东炫, 韩利进, 金旻錫, 吴敏爱, 郑志薰, 南道润, 陈裕瓒, 金建宇, 朴浚爀, 崔娜舞, 金善律","悬疑, 惊悚",2022-09-16(韩国),60分钟,《Blind》讲述了因为平凡而成为了委屈的受害者的人们，和对不便的真相闭眼的平凡的加害者们的故事。以刑警、法官、法学院学生和9名陪审员为中心展开的《Blind》既是社会告发剧，也是一部人性电视剧，还是寻找犯人的悬疑惊悚剧。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2878230308.jpg,韩国,韩语,局中人,tt21631058,https://movie.douban.com/subject/35682504/,16
尸智症 Viejos,4.3,406,Raúl Cerezo,"古斯塔沃·萨尔梅龙, Anula Irene, Gallego Paula, 佐伦·伊格",恐怖,2022-07-16(加拿大蒙特利尔奇幻电影节),95分钟,电影讲述一位年迈的老人曼努尔，因为老伴罗莎的自杀身心逐渐恶化，他的儿子马力欧在怀孕的妻子莲娜强烈的反对下，仍决定将爸爸接回家中照顾，唯一信任曼努尔只有他青春期的孙女尼亚。然而，曼努尔的失智症一天比一天严重，这个家庭的新生活每况愈下，直到攸关生死。最终，这位被疏于照顾的老人将在本世纪最炎热的夜晚，引发令人意想不到的骇人结局...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2884579286.jpg,西班牙,西班牙语,无,tt13968380,https://movie.douban.com/subject/35519094/,1
孤注一掷,6.9,620891,申奥,"张艺兴, 金晨, 咏梅, 王传君, 王大陆, 周也, 孙阳, 邓萃雯, 林威, 黄艺馨, 王议伟, 辛鹏, 汤加文, 刘敬宇, 林韦辰, 生港帅, 洪助升, 李东海","剧情, 犯罪",2023-08-08(中国大陆),130分钟,"南亚某国，由于当地政府监管不力以及有意纵容，诈骗产业极其昌盛，炒股、挖币、网游、电商、博彩等，各种手段层出不穷，花样百出。某个科技产业园内，诈骗团伙头目陆经理（王传君 饰）张狂傲慢，用诡计和暴力统治着这个血泪王国。程序员潘生（张艺兴 饰）离开之前的公司，根据高薪招聘启示 走入了陆经理设下的圈套，成为一名利用网络诈骗的狗推。因为羡慕闺蜜的生活，模特梁安娜（金晨 饰）也飞到异国他乡寻找机会，结果护照被没收，成为陆经理手下利用美色诈骗的工具。进入人间炼狱，仿佛再也见不到活着出去的希望……
                                    
                                　　电影取材自上万起真实诈骗案例。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896551721.jpg,中国大陆,汉语普通话,捕鱼行动 / 捕鱼之放手一搏 / 放手一搏 / No More Bets,tt28076784,https://movie.douban.com/subject/35267224/,1
嫌疑人X的献身 용의자X,7.5,49940,方银振,"李枖原, 柳昇范, 赵震雄","剧情, 爱情, 悬疑, 犯罪",2012-10-18(韩国),109分钟,"影片改编自日本推理作家东野圭吾的代表作《嫌疑人X的献身》，原名《完美的爱情》，后仍改为和原著接近的《嫌疑人X》。
                                    
                                　　沉默寡言的天才数学家金石固（柳承范 饰）每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居白花善（李瑶媛 饰）。花善与外甥女允儿相依为命，过 着平静的生活，可是有一个总来找麻烦的前夫金哲民。终于有一天，花善因不堪忍受虐待，最终手刃了前来纠缠的前夫。石固察觉花善出于自卫而杀人的事实后，主动提出由他料理善后，为此这桩犯罪设计完美的不在场的证明，保证让花善和允儿不受到牵连。负责查办此案的郑警官（赵镇雄 饰）是石固的好友对花善的凶手身份确认不疑，虽然没有确凿证据，却依然执著地展开调查。
                                    
                                　　到底石固使用了怎样的隐藏手法？最终他会为爱献身吗？",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1702130521.jpg,韩国,韩语,嫌疑人X / 嫌疑犯X(台) / Perfect Number / Suspect X,tt2411024,https://movie.douban.com/subject/6869412/,1
妙先生,6.2,76542,李凌霄,"小连杀, 王潇倩, 林强, 马正阳, 宝木中阳, 张振, 林柏青, 朱蓉蓉, 袁铭喆, 高枫, 刘芊含, 姜广涛, 蔡杰, 周侗, 高一雪","动画, 奇幻, 冒险",2020-07-31(中国大陆),89分钟,影片改编自不思凡 (《大护法》)的同名原创短片，由李凌霄执导，彩条屋影业(《哪吒之魔童降世》)出品，讲述一场关于“善恶抉择”的人性考验。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614234255.jpg,中国大陆,汉语普通话,Mr. Miao,tt11482244,https://movie.douban.com/subject/34888476/,1
